report_type,organization,platform,metric,target,date,dim1,dim2,value
Report type 1,Organization 3,Platform 2,Metric 1,Title 3,2020-03-01,C,,792
Report type 1,Organization 3,Platform 2,Metric 2,Title 1,2019-12-01,A,,793
Report type 1,Organization 3,Platform 2,Metric 2,Title 1,2019-12-01,B,,794
Report type 1,Organization 3,Platform 2,Metric 2,Title 1,2019-12-01,C,,795
Report type 1,Organization 3,Platform 2,Metric 2,Title 1,2020-01-01,A,,796
Report type 1,Organization 3,Platform 2,Metric 2,Title 1,2020-01-01,B,,797
Report type 1,Organization 3,Platform 2,Metric 2,Title 1,2020-01-01,C,,798
Report type 1,Organization 3,Platform 2,Metric 2,Title 1,2020-02-01,A,,799
Report type 1,Organization 3,Platform 2,Metric 2,Title 1,2020-02-01,B,,800
Report type 1,Organization 3,Platform 2,Metric 2,Title 1,2020-02-01,C,,801
Report type 1,Organization 3,Platform 2,Metric 2,Title 1,2020-03-01,A,,802
Report type 1,Organization 3,Platform 2,Metric 2,Title 1,2020-03-01,B,,803
Report type 1,Organization 3,Platform 2,Metric 2,Title 1,2020-03-01,C,,804
Report type 1,Organization 3,Platform 2,Metric 2,Title 2,2019-12-01,A,,805
Report type 1,Organization 3,Platform 2,Metric 2,Title 2,2019-12-01,B,,806
Report type 1,Organization 3,Platform 2,Metric 2,Title 2,2019-12-01,C,,807
Report type 1,Organization 3,Platform 2,Metric 2,Title 2,2020-01-01,A,,808
Report type 1,Organization 3,Platform 2,Metric 2,Title 2,2020-01-01,B,,809
Report type 1,Organization 3,Platform 2,Metric 2,Title 2,2020-01-01,C,,810
Report type 1,Organization 3,Platform 2,Metric 2,Title 2,2020-02-01,A,,811
Report type 1,Organization 3,Platform 2,Metric 2,Title 2,2020-02-01,B,,812
Report type 1,Organization 3,Platform 2,Metric 2,Title 2,2020-02-01,C,,813
Report type 1,Organization 3,Platform 2,Metric 2,Title 2,2020-03-01,A,,814
Report type 1,Organization 3,Platform 2,Metric 2,Title 2,2020-03-01,B,,815
Report type 1,Organization 3,Platform 2,Metric 2,Title 2,2020-03-01,C,,816
Report type 1,Organization 3,Platform 2,Metric 2,Title 3,2019-12-01,A,,817
Report type 1,Organization 3,Platform 2,Metric 2,Title 3,2019-12-01,B,,818
Report type 1,Organization 3,Platform 2,Metric 2,Title 3,2019-12-01,C,,819
Report type 1,Organization 3,Platform 2,Metric 2,Title 3,2020-01-01,A,,820
Report type 1,Organization 3,Platform 2,Metric 2,Title 3,2020-01-01,B,,821
Report type 1,Organization 3,Platform 2,Metric 2,Title 3,2020-01-01,C,,822
Report type 1,Organization 3,Platform 2,Metric 2,Title 3,2020-02-01,A,,823
Report type 1,Organization 3,Platform 2,Metric 2,Title 3,2020-02-01,B,,824
Report type 1,Organization 3,Platform 2,Metric 2,Title 3,2020-02-01,C,,825
Report type 1,Organization 3,Platform 2,Metric 2,Title 3,2020-03-01,A,,826
Report type 1,Organization 3,Platform 2,Metric 2,Title 3,2020-03-01,B,,827
Report type 1,Organization 3,Platform 2,Metric 2,Title 3,2020-03-01,C,,828
Report type 1,Organization 3,Platform 2,Metric 3,Title 1,2019-12-01,A,,829
Report type 1,Organization 3,Platform 2,Metric 3,Title 1,2019-12-01,B,,830
Report type 1,Organization 3,Platform 2,Metric 3,Title 1,2019-12-01,C,,831
Report type 1,Organization 3,Platform 2,Metric 3,Title 1,2020-01-01,A,,832
Report type 1,Organization 3,Platform 2,Metric 3,Title 1,2020-01-01,B,,833
Report type 1,Organization 3,Platform 2,Metric 3,Title 1,2020-01-01,C,,834
Report type 1,Organization 3,Platform 2,Metric 3,Title 1,2020-02-01,A,,835
Report type 1,Organization 3,Platform 2,Metric 3,Title 1,2020-02-01,B,,836
Report type 1,Organization 3,Platform 2,Metric 3,Title 1,2020-02-01,C,,837
Report type 1,Organization 3,Platform 2,Metric 3,Title 1,2020-03-01,A,,838
Report type 1,Organization 3,Platform 2,Metric 3,Title 1,2020-03-01,B,,839
Report type 1,Organization 3,Platform 2,Metric 3,Title 1,2020-03-01,C,,840
Report type 1,Organization 3,Platform 2,Metric 3,Title 2,2019-12-01,A,,841
Report type 1,Organization 3,Platform 2,Metric 3,Title 2,2019-12-01,B,,842
Report type 1,Organization 3,Platform 2,Metric 3,Title 2,2019-12-01,C,,843
Report type 1,Organization 3,Platform 2,Metric 3,Title 2,2020-01-01,A,,844
Report type 1,Organization 3,Platform 2,Metric 3,Title 2,2020-01-01,B,,845
Report type 1,Organization 3,Platform 2,Metric 3,Title 2,2020-01-01,C,,846
Report type 1,Organization 3,Platform 2,Metric 3,Title 2,2020-02-01,A,,847
Report type 1,Organization 3,Platform 2,Metric 3,Title 2,2020-02-01,B,,848
Report type 1,Organization 3,Platform 2,Metric 3,Title 2,2020-02-01,C,,849
Report type 1,Organization 3,Platform 2,Metric 3,Title 2,2020-03-01,A,,850
Report type 1,Organization 3,Platform 2,Metric 3,Title 2,2020-03-01,B,,851
Report type 1,Organization 3,Platform 2,Metric 3,Title 2,2020-03-01,C,,852
Report type 1,Organization 3,Platform 2,Metric 3,Title 3,2019-12-01,A,,853
Report type 1,Organization 3,Platform 2,Metric 3,Title 3,2019-12-01,B,,854
Report type 1,Organization 3,Platform 2,Metric 3,Title 3,2019-12-01,C,,855
Report type 1,Organization 3,Platform 2,Metric 3,Title 3,2020-01-01,A,,856
Report type 1,Organization 3,Platform 2,Metric 3,Title 3,2020-01-01,B,,857
Report type 1,Organization 3,Platform 2,Metric 3,Title 3,2020-01-01,C,,858
Report type 1,Organization 3,Platform 2,Metric 3,Title 3,2020-02-01,A,,859
Report type 1,Organization 3,Platform 2,Metric 3,Title 3,2020-02-01,B,,860
Report type 1,Organization 3,Platform 2,Metric 3,Title 3,2020-02-01,C,,861
Report type 1,Organization 3,Platform 2,Metric 3,Title 3,2020-03-01,A,,862
Report type 1,Organization 3,Platform 2,Metric 3,Title 3,2020-03-01,B,,863
Report type 1,Organization 3,Platform 2,Metric 3,Title 3,2020-03-01,C,,864
Report type 1,Organization 3,Platform 3,Metric 1,Title 1,2019-12-01,A,,865
Report type 1,Organization 3,Platform 3,Metric 1,Title 1,2019-12-01,B,,866
Report type 1,Organization 3,Platform 3,Metric 1,Title 1,2019-12-01,C,,867
Report type 1,Organization 3,Platform 3,Metric 1,Title 1,2020-01-01,A,,868
Report type 1,Organization 3,Platform 3,Metric 1,Title 1,2020-01-01,B,,869
Report type 1,Organization 3,Platform 3,Metric 1,Title 1,2020-01-01,C,,870
Report type 1,Organization 3,Platform 3,Metric 1,Title 1,2020-02-01,A,,871
Report type 1,Organization 3,Platform 3,Metric 1,Title 1,2020-02-01,B,,872
Report type 1,Organization 3,Platform 3,Metric 1,Title 1,2020-02-01,C,,873
Report type 1,Organization 3,Platform 3,Metric 1,Title 1,2020-03-01,A,,874
Report type 1,Organization 3,Platform 3,Metric 1,Title 1,2020-03-01,B,,875
Report type 1,Organization 3,Platform 3,Metric 1,Title 1,2020-03-01,C,,876
Report type 1,Organization 3,Platform 3,Metric 1,Title 2,2019-12-01,A,,877
Report type 1,Organization 3,Platform 3,Metric 1,Title 2,2019-12-01,B,,878
Report type 1,Organization 3,Platform 3,Metric 1,Title 2,2019-12-01,C,,879
Report type 1,Organization 3,Platform 3,Metric 1,Title 2,2020-01-01,A,,880
Report type 1,Organization 3,Platform 3,Metric 1,Title 2,2020-01-01,B,,881
Report type 1,Organization 3,Platform 3,Metric 1,Title 2,2020-01-01,C,,882
Report type 1,Organization 3,Platform 3,Metric 1,Title 2,2020-02-01,A,,883
Report type 1,Organization 3,Platform 3,Metric 1,Title 2,2020-02-01,B,,884
Report type 1,Organization 3,Platform 3,Metric 1,Title 2,2020-02-01,C,,885
Report type 1,Organization 3,Platform 3,Metric 1,Title 2,2020-03-01,A,,886
Report type 1,Organization 3,Platform 3,Metric 1,Title 2,2020-03-01,B,,887
Report type 1,Organization 3,Platform 3,Metric 1,Title 2,2020-03-01,C,,888
Report type 1,Organization 3,Platform 3,Metric 1,Title 3,2019-12-01,A,,889
Report type 1,Organization 3,Platform 3,Metric 1,Title 3,2019-12-01,B,,890
Report type 1,Organization 3,Platform 3,Metric 1,Title 3,2019-12-01,C,,891
Report type 1,Organization 3,Platform 3,Metric 1,Title 3,2020-01-01,A,,892
Report type 1,Organization 3,Platform 3,Metric 1,Title 3,2020-01-01,B,,893
Report type 1,Organization 3,Platform 3,Metric 1,Title 3,2020-01-01,C,,894
Report type 1,Organization 3,Platform 3,Metric 1,Title 3,2020-02-01,A,,895
Report type 1,Organization 3,Platform 3,Metric 1,Title 3,2020-02-01,B,,896
Report type 1,Organization 3,Platform 3,Metric 1,Title 3,2020-02-01,C,,897
Report type 1,Organization 3,Platform 3,Metric 1,Title 3,2020-03-01,A,,898
Report type 1,Organization 3,Platform 3,Metric 1,Title 3,2020-03-01,B,,899
Report type 1,Organization 3,Platform 3,Metric 1,Title 3,2020-03-01,C,,900
Report type 1,Organization 3,Platform 3,Metric 2,Title 1,2019-12-01,A,,901
Report type 1,Organization 3,Platform 3,Metric 2,Title 1,2019-12-01,B,,902
Report type 1,Organization 3,Platform 3,Metric 2,Title 1,2019-12-01,C,,903
Report type 1,Organization 3,Platform 3,Metric 2,Title 1,2020-01-01,A,,904
Report type 1,Organization 3,Platform 3,Metric 2,Title 1,2020-01-01,B,,905
Report type 1,Organization 3,Platform 3,Metric 2,Title 1,2020-01-01,C,,906
Report type 1,Organization 3,Platform 3,Metric 2,Title 1,2020-02-01,A,,907
Report type 1,Organization 3,Platform 3,Metric 2,Title 1,2020-02-01,B,,908
Report type 1,Organization 3,Platform 3,Metric 2,Title 1,2020-02-01,C,,909
Report type 1,Organization 3,Platform 3,Metric 2,Title 1,2020-03-01,A,,910
Report type 1,Organization 3,Platform 3,Metric 2,Title 1,2020-03-01,B,,911
Report type 1,Organization 3,Platform 3,Metric 2,Title 1,2020-03-01,C,,912
Report type 1,Organization 3,Platform 3,Metric 2,Title 2,2019-12-01,A,,913
Report type 1,Organization 3,Platform 3,Metric 2,Title 2,2019-12-01,B,,914
Report type 1,Organization 3,Platform 3,Metric 2,Title 2,2019-12-01,C,,915
Report type 1,Organization 3,Platform 3,Metric 2,Title 2,2020-01-01,A,,916
Report type 1,Organization 3,Platform 3,Metric 2,Title 2,2020-01-01,B,,917
Report type 1,Organization 3,Platform 3,Metric 2,Title 2,2020-01-01,C,,918
Report type 1,Organization 3,Platform 3,Metric 2,Title 2,2020-02-01,A,,919
Report type 1,Organization 3,Platform 3,Metric 2,Title 2,2020-02-01,B,,920
Report type 1,Organization 3,Platform 3,Metric 2,Title 2,2020-02-01,C,,921
Report type 1,Organization 3,Platform 3,Metric 2,Title 2,2020-03-01,A,,922
Report type 1,Organization 3,Platform 3,Metric 2,Title 2,2020-03-01,B,,923
Report type 1,Organization 3,Platform 3,Metric 2,Title 2,2020-03-01,C,,924
Report type 1,Organization 3,Platform 3,Metric 2,Title 3,2019-12-01,A,,925
Report type 1,Organization 3,Platform 3,Metric 2,Title 3,2019-12-01,B,,926
Report type 1,Organization 3,Platform 3,Metric 2,Title 3,2019-12-01,C,,927
Report type 1,Organization 3,Platform 3,Metric 2,Title 3,2020-01-01,A,,928
Report type 1,Organization 3,Platform 3,Metric 2,Title 3,2020-01-01,B,,929
Report type 1,Organization 3,Platform 3,Metric 2,Title 3,2020-01-01,C,,930
Report type 1,Organization 3,Platform 3,Metric 2,Title 3,2020-02-01,A,,931
Report type 1,Organization 3,Platform 3,Metric 2,Title 3,2020-02-01,B,,932
Report type 1,Organization 3,Platform 3,Metric 2,Title 3,2020-02-01,C,,933
Report type 1,Organization 3,Platform 3,Metric 2,Title 3,2020-03-01,A,,934
Report type 1,Organization 3,Platform 3,Metric 2,Title 3,2020-03-01,B,,935
Report type 1,Organization 3,Platform 3,Metric 2,Title 3,2020-03-01,C,,936
Report type 1,Organization 3,Platform 3,Metric 3,Title 1,2019-12-01,A,,937
Report type 1,Organization 3,Platform 3,Metric 3,Title 1,2019-12-01,B,,938
Report type 1,Organization 3,Platform 3,Metric 3,Title 1,2019-12-01,C,,939
Report type 1,Organization 3,Platform 3,Metric 3,Title 1,2020-01-01,A,,940
Report type 1,Organization 3,Platform 3,Metric 3,Title 1,2020-01-01,B,,941
Report type 1,Organization 3,Platform 3,Metric 3,Title 1,2020-01-01,C,,942
Report type 1,Organization 3,Platform 3,Metric 3,Title 1,2020-02-01,A,,943
Report type 1,Organization 3,Platform 3,Metric 3,Title 1,2020-02-01,B,,944
Report type 1,Organization 3,Platform 3,Metric 3,Title 1,2020-02-01,C,,945
Report type 1,Organization 3,Platform 3,Metric 3,Title 1,2020-03-01,A,,946
Report type 1,Organization 3,Platform 3,Metric 3,Title 1,2020-03-01,B,,947
Report type 1,Organization 3,Platform 3,Metric 3,Title 1,2020-03-01,C,,948
Report type 1,Organization 3,Platform 3,Metric 3,Title 2,2019-12-01,A,,949
Report type 1,Organization 3,Platform 3,Metric 3,Title 2,2019-12-01,B,,950
Report type 1,Organization 3,Platform 3,Metric 3,Title 2,2019-12-01,C,,951
Report type 1,Organization 3,Platform 3,Metric 3,Title 2,2020-01-01,A,,952
Report type 1,Organization 3,Platform 3,Metric 3,Title 2,2020-01-01,B,,953
Report type 1,Organization 3,Platform 3,Metric 3,Title 2,2020-01-01,C,,954
Report type 1,Organization 3,Platform 3,Metric 3,Title 2,2020-02-01,A,,955
Report type 1,Organization 3,Platform 3,Metric 3,Title 2,2020-02-01,B,,956
Report type 1,Organization 3,Platform 3,Metric 3,Title 2,2020-02-01,C,,957
Report type 1,Organization 3,Platform 3,Metric 3,Title 2,2020-03-01,A,,958
Report type 1,Organization 3,Platform 3,Metric 3,Title 2,2020-03-01,B,,959
Report type 1,Organization 3,Platform 3,Metric 3,Title 2,2020-03-01,C,,960
Report type 1,Organization 3,Platform 3,Metric 3,Title 3,2019-12-01,A,,961
Report type 1,Organization 3,Platform 3,Metric 3,Title 3,2019-12-01,B,,962
Report type 1,Organization 3,Platform 3,Metric 3,Title 3,2019-12-01,C,,963
Report type 1,Organization 3,Platform 3,Metric 3,Title 3,2020-01-01,A,,964
Report type 1,Organization 3,Platform 3,Metric 3,Title 3,2020-01-01,B,,965
Report type 1,Organization 3,Platform 3,Metric 3,Title 3,2020-01-01,C,,966
Report type 1,Organization 3,Platform 3,Metric 3,Title 3,2020-02-01,A,,967
Report type 1,Organization 3,Platform 3,Metric 3,Title 3,2020-02-01,B,,968
Report type 1,Organization 3,Platform 3,Metric 3,Title 3,2020-02-01,C,,969
Report type 1,Organization 3,Platform 3,Metric 3,Title 3,2020-03-01,A,,970
Report type 1,Organization 3,Platform 3,Metric 3,Title 3,2020-03-01,B,,971
Report type 1,Organization 3,Platform 3,Metric 3,Title 3,2020-03-01,C,,972
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2019-12-01,A,XX,973
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2019-12-01,A,YY,974
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2019-12-01,A,ZZ,975
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2019-12-01,B,XX,976
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2019-12-01,B,YY,977
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2019-12-01,B,ZZ,978
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2019-12-01,C,XX,979
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2019-12-01,C,YY,980
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2019-12-01,C,ZZ,981
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2020-01-01,A,XX,982
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2020-01-01,A,YY,983
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2020-01-01,A,ZZ,984
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2020-01-01,B,XX,985
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2020-01-01,B,YY,986
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2020-01-01,B,ZZ,987
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2020-01-01,C,XX,988
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2020-01-01,C,YY,989
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2020-01-01,C,ZZ,990
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2020-02-01,A,XX,991
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2020-02-01,A,YY,992
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2020-02-01,A,ZZ,993
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2020-02-01,B,XX,994
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2020-02-01,B,YY,995
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2020-02-01,B,ZZ,996
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2020-02-01,C,XX,997
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2020-02-01,C,YY,998
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2020-02-01,C,ZZ,999
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2020-03-01,A,XX,1000
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2020-03-01,A,YY,1001
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2020-03-01,A,ZZ,1002
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2020-03-01,B,XX,1003
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2020-03-01,B,YY,1004
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2020-03-01,B,ZZ,1005
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2020-03-01,C,XX,1006
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2020-03-01,C,YY,1007
Report type 2,Organization 1,Platform 1,Metric 1,Title 1,2020-03-01,C,ZZ,1008
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2019-12-01,A,XX,1009
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2019-12-01,A,YY,1010
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2019-12-01,A,ZZ,1011
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2019-12-01,B,XX,1012
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2019-12-01,B,YY,1013
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2019-12-01,B,ZZ,1014
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2019-12-01,C,XX,1015
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2019-12-01,C,YY,1016
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2019-12-01,C,ZZ,1017
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2020-01-01,A,XX,1018
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2020-01-01,A,YY,1019
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2020-01-01,A,ZZ,1020
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2020-01-01,B,XX,1021
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2020-01-01,B,YY,1022
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2020-01-01,B,ZZ,1023
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2020-01-01,C,XX,1024
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2020-01-01,C,YY,1025
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2020-01-01,C,ZZ,1026
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2020-02-01,A,XX,1027
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2020-02-01,A,YY,1028
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2020-02-01,A,ZZ,1029
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2020-02-01,B,XX,1030
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2020-02-01,B,YY,1031
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2020-02-01,B,ZZ,1032
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2020-02-01,C,XX,1033
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2020-02-01,C,YY,1034
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2020-02-01,C,ZZ,1035
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2020-03-01,A,XX,1036
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2020-03-01,A,YY,1037
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2020-03-01,A,ZZ,1038
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2020-03-01,B,XX,1039
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2020-03-01,B,YY,1040
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2020-03-01,B,ZZ,1041
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2020-03-01,C,XX,1042
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2020-03-01,C,YY,1043
Report type 2,Organization 1,Platform 1,Metric 1,Title 2,2020-03-01,C,ZZ,1044
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2019-12-01,A,XX,1045
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2019-12-01,A,YY,1046
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2019-12-01,A,ZZ,1047
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2019-12-01,B,XX,1048
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2019-12-01,B,YY,1049
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2019-12-01,B,ZZ,1050
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2019-12-01,C,XX,1051
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2019-12-01,C,YY,1052
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2019-12-01,C,ZZ,1053
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2020-01-01,A,XX,1054
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2020-01-01,A,YY,1055
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2020-01-01,A,ZZ,1056
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2020-01-01,B,XX,1057
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2020-01-01,B,YY,1058
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2020-01-01,B,ZZ,1059
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2020-01-01,C,XX,1060
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2020-01-01,C,YY,1061
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2020-01-01,C,ZZ,1062
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2020-02-01,A,XX,1063
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2020-02-01,A,YY,1064
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2020-02-01,A,ZZ,1065
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2020-02-01,B,XX,1066
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2020-02-01,B,YY,1067
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2020-02-01,B,ZZ,1068
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2020-02-01,C,XX,1069
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2020-02-01,C,YY,1070
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2020-02-01,C,ZZ,1071
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2020-03-01,A,XX,1072
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2020-03-01,A,YY,1073
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2020-03-01,A,ZZ,1074
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2020-03-01,B,XX,1075
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2020-03-01,B,YY,1076
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2020-03-01,B,ZZ,1077
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2020-03-01,C,XX,1078
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2020-03-01,C,YY,1079
Report type 2,Organization 1,Platform 1,Metric 1,Title 3,2020-03-01,C,ZZ,1080
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2019-12-01,A,XX,1081
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2019-12-01,A,YY,1082
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2019-12-01,A,ZZ,1083
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2019-12-01,B,XX,1084
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2019-12-01,B,YY,1085
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2019-12-01,B,ZZ,1086
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2019-12-01,C,XX,1087
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2019-12-01,C,YY,1088
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2019-12-01,C,ZZ,1089
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2020-01-01,A,XX,1090
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2020-01-01,A,YY,1091
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2020-01-01,A,ZZ,1092
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2020-01-01,B,XX,1093
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2020-01-01,B,YY,1094
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2020-01-01,B,ZZ,1095
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2020-01-01,C,XX,1096
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2020-01-01,C,YY,1097
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2020-01-01,C,ZZ,1098
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2020-02-01,A,XX,1099
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2020-02-01,A,YY,1100
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2020-02-01,A,ZZ,1101
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2020-02-01,B,XX,1102
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2020-02-01,B,YY,1103
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2020-02-01,B,ZZ,1104
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2020-02-01,C,XX,1105
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2020-02-01,C,YY,1106
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2020-02-01,C,ZZ,1107
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2020-03-01,A,XX,1108
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2020-03-01,A,YY,1109
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2020-03-01,A,ZZ,1110
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2020-03-01,B,XX,1111
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2020-03-01,B,YY,1112
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2020-03-01,B,ZZ,1113
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2020-03-01,C,XX,1114
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2020-03-01,C,YY,1115
Report type 2,Organization 1,Platform 1,Metric 2,Title 1,2020-03-01,C,ZZ,1116
Report type 2,Organization 1,Platform 1,Metric 2,Title 2,2019-12-01,A,XX,1117
Report type 2,Organization 1,Platform 1,Metric 2,Title 2,2019-12-01,A,YY,1118
Report type 2,Organization 1,Platform 1,Metric 2,Title 2,2019-12-01,A,ZZ,1119
